block_name,test_observations,baseline_mae,model_mae,baseline_rmse,model_rmse,mae_improvement_percentage,rmse_improvement_percentage
Dindori,11,10.5,2.2,10.5,2.2,79.05,79.05
Baglan,75,3.228,2.414,4.0889,2.4687,25.22,39.62
Ambegaon,2200,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Junnar,2970,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Shirur,1936,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Purandar,2024,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Mulshi,1980,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Maval,2200,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Khed,3366,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Haveli,1716,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Indapur,2442,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Daund,1738,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Bhor,3234,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Baramati,2134,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Velhe,1496,4.5273,3.4171,5.0193,4.3902,24.52,12.53
Deola,42,4.7929,4.7727,5.1244,9.6046,0.42,-87.43
Chandwad,22,5.2,41.5,5.2,41.5,-698.08,-698.08
